"ID","愛着","神経症傾向","外向性","開放性","調和性","誠実性"
187,3,55,57,60,49,52
188,3,54,54,47,57,46
189,1,56,55,46,45,34
190,1,24,64,49,59,45
191,1,72,59,43,32,39
192,3,49,45,53,51,50
193,2,47,53,59,54,54
194,2,52,34,52,44,47
195,1,50,52,46,36,35
196,2,41,50,58,62,55
197,2,32,54,46,47,57
198,3,57,44,42,53,45
199,2,39,52,57,51,41
200,1,46,40,55,56,49
